board,turn,move_num,result,result_scaled,result_scaled_tempo
7Q/3k4/R3p1p1/1p1pP3/8/K7/2q5/8 b - - 22 66,False,66,1,5.695,5.695
7Q/3k4/R3p1p1/3pP3/1p6/K7/2q5/8 w - - 0 67,True,67,1,5.695,5.695
7Q/3k4/R3p1p1/3pP3/1K6/8/2q5/8 b - - 0 67,False,67,1,5.695,5.695
7Q/3k4/R3p1p1/3pP3/1K6/8/1q6/8 w - - 1 68,True,68,1,5.695,5.695
7Q/3k4/R3p1p1/K2pP3/8/8/1q6/8 b - - 2 68,False,68,1,5.695,5.695
7Q/3k4/R3p1p1/K2pP3/8/2q5/8/8 w - - 3 69,True,69,1,5.695,5.695
7Q/3k4/R3p1p1/3pP3/K7/2q5/8/8 b - - 4 69,False,69,1,5.695,5.695
7Q/3k4/R3p1p1/3pP3/K2q4/8/8/8 w - - 5 70,True,70,1,5.695,5.695
7Q/3k4/R3p1p1/1K1pP3/3q4/8/8/8 b - - 6 70,False,70,1,5.695,5.695
7Q/3k4/R3p1p1/1K1pP3/8/8/1q6/8 w - - 7 71,True,71,1,5.695,5.695
7Q/3k4/R3p1p1/3pP3/K7/8/1q6/8 b - - 8 71,False,71,1,5.695,5.695
7Q/3k4/R3p1p1/3pP3/K7/8/q7/8 w - - 9 72,True,72,1,5.695,5.695
7Q/3k4/R3p1p1/1K1pP3/8/8/q7/8 b - - 10 72,False,72,1,5.695,5.695
7Q/3k4/R3p1p1/1K1pP3/8/1q6/8/8 w - - 11 73,True,73,1,5.695,5.695
7Q/3k4/R3p1p1/K2pP3/8/1q6/8/8 b - - 12 73,False,73,1,5.695,5.695
7Q/3k4/R3p1p1/K2pP3/8/2q5/8/8 w - - 13 74,True,74,1,5.695,5.695
7Q/3k4/R3p1p1/1K1pP3/8/2q5/8/8 b - - 14 74,False,74,1,5.695,5.695
7Q/3k4/R3p1p1/1K1pP3/2q5/8/8/8 w - - 15 75,True,75,1,5.695,5.695
7Q/3k4/RK2p1p1/3pP3/2q5/8/8/8 b - - 16 75,False,75,1,5.695,5.695
7Q/2qk4/RK2p1p1/3pP3/8/8/8/8 w - - 17 76,True,76,1,5.695,5.695
7Q/2qk4/R3p1p1/1K1pP3/8/8/8/8 b - - 18 76,False,76,1,5.695,5.695
7Q/3k4/R3p1p1/1K1pP3/2q5/8/8/8 w - - 19 77,True,77,1,5.695,5.695
7Q/3k4/RK2p1p1/3pP3/2q5/8/8/8 b - - 20 77,False,77,1,5.695,5.695
7Q/2qk4/RK2p1p1/3pP3/8/8/8/8 w - - 21 78,True,78,1,5.695,5.695
7Q/2qk4/R3p1p1/1K1pP3/8/8/8/8 b - - 22 78,False,78,1,5.695,5.695
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,True,1,1,1.688,1.688
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,False,1,1,1.688,1.688
