board,turn,move_num,result,material_balance_pawn,material_balance_knight,material_balance_bishop,material_balance_rook,material_balance_queen,mobility_pawn,mobility_knight,mobility_bishop,mobility_rook,mobility_queen,mobility_king
B3k3/5p2/1p2p3/4n2r/p2N4/P1P1B1bp/1P1QK1P1/R7 w - - 3 35,1,35,2,-1,0,3,0,9,-1,0,5,2,5,-2
B3k3/5p2/1p2p3/4n2r/p2N4/P1P1B1bP/1P1QK3/R7 b - - 0 35,0,35,0,0,0,-3,0,-9,-1,0,-7,-1,-5,2
B7/4kp2/1p2p3/4n2r/p2N4/P1P1B1bP/1P1QK3/R7 w - - 1 36,1,36,2,0,0,3,0,9,1,0,7,1,5,-4
B7/4kp2/1p2p3/4n2r/p2N4/P1P1B1bP/1P1QK3/7R b - - 2 36,0,36,0,0,0,-3,0,-9,-1,0,-6,-1,-5,4
B4k2/5p2/1p2p3/4n2r/p2N4/P1P1B1bP/1P1QK3/7R w - - 3 37,1,37,2,0,0,3,0,9,1,0,6,1,5,-2
5k2/5p2/1p2p3/4n2r/p2NB3/P1P1B1bP/1P1QK3/7R b - - 4 37,0,37,0,0,0,-3,0,-9,-1,0,-12,-1,-5,2
5k2/5p2/4p3/1p2n2r/p2NB3/P1P1B1bP/1P1QK3/7R w - - 0 38,1,38,2,0,0,3,0,9,1,0,12,1,5,-2
5k2/5p2/4p3/1p2n2r/p2NB3/P1P1B1bP/1P1Q4/3K3R b - - 1 38,0,38,0,0,0,-3,0,-9,-1,-1,-12,3,-8,1
8/5pk1/4p3/1p2n2r/p2NB3/P1P1B1bP/1P1Q4/3K3R w - - 2 39,1,39,2,0,0,3,0,9,1,1,12,-3,8,-1
8/5pk1/4p3/1p2n2r/p2NB3/P1P1B1bP/1P2Q3/3K3R b - - 3 39,0,39,0,0,0,-3,0,-9,-1,0,-14,3,-13,1
7r/5pk1/4p3/1p2n3/p2NB3/P1P1B1bP/1P2Q3/3K3R w - - 4 40,1,40,2,0,0,3,0,9,1,0,14,-8,13,0
7r/5pk1/4p3/1p2n3/p2N4/P1P1B1bP/1P2Q1B1/3K3R b - - 5 40,0,40,0,0,0,-3,0,-9,-1,0,-9,8,-11,2
3r4/5pk1/4p3/1p2n3/p2N4/P1P1B1bP/1P2Q1B1/3K3R w - - 6 41,1,41,2,0,0,3,0,9,1,-7,9,-7,11,-3
3r4/5pk1/4p3/1p2n3/p2N4/P1P1B1bP/1P2Q1B1/3K2R1 b - - 7 41,0,41,0,0,0,-3,0,-9,-1,7,-9,8,-11,3
3r4/5pk1/4p3/1p2n3/p2N4/P1P1B2P/1P2Q1Bb/3K2R1 w - - 8 42,1,42,2,0,0,3,0,9,1,-7,11,-8,11,-2
3r4/5pk1/4p3/1p2n3/p2N4/P1P1B2P/1P2Q1Bb/3K3R b - - 9 42,0,42,0,0,0,-3,0,-9,-1,7,-11,7,-11,2
3r1k2/5p2/4p3/1p2n3/p2N4/P1P1B2P/1P2Q1Bb/3K3R w - - 10 43,1,43,2,0,0,3,0,9,1,-7,11,-4,11,0
3r1k2/5p2/4p3/1p2n3/p2N4/P1P1B2P/1P2Q1BR/3K4 b - - 0 43,0,43,0,0,0,-6,0,-9,-1,7,-15,7,-11,0
3r1k2/8/4pp2/1p2n3/p2N4/P1P1B2P/1P2Q1BR/3K4 w - - 0 44,1,44,2,0,0,6,0,9,2,-8,15,-7,11,-1
3r1k2/8/4pp2/1p2n3/p2N4/P1P1B2P/1P2Q2R/3K1B2 b - - 1 44,0,44,0,0,0,-6,0,-9,-2,8,-8,5,-11,1
3r4/4k3/4pp2/1p2n3/p2N4/P1P1B2P/1P2Q2R/3K1B2 w - - 2 45,1,45,2,0,0,6,0,9,2,-8,8,-8,11,-1
3r4/4k3/4pp2/1p2n3/p2N4/P1P4P/1P2Q2R/2BK1B2 b - - 3 45,0,45,0,0,0,-6,0,-9,-2,8,-6,8,-14,2
8/4k3/4pp2/1p1rn3/p2N4/P1P4P/1P2Q2R/2BK1B2 w - - 4 46,1,46,2,0,0,6,0,9,2,-8,6,-2,14,-3
8/4k3/4pp2/1p1rn3/p2NQ3/P1P4P/1P5R/2BK1B2 b - - 5 46,0,46,0,0,0,-6,0,-9,-2,8,-10,-1,-17,2
3r4/4k3/4pp2/1p2n3/p2NQ3/P1P4P/1P5R/2BK1B2 w - - 6 47,1,47,2,0,0,6,0,9,2,-8,10,-5,20,-1
3r4/4k2Q/4pp2/1p2n3/p2N4/P1P4P/1P5R/2BK1B2 b - - 7 47,0,47,0,0,0,-6,0,-9,-4,1,-10,-6,-14,-1
3r4/4kn1Q/4pp2/1p6/p2N4/P1P4P/1P5R/2BK1B2 w - - 8 48,1,48,2,0,0,6,0,9,1,0,10,-5,13,0
3r4/4kn2/4pp2/1p6/p2NQ3/P1P4P/1P5R/2BK1B2 b - - 9 48,0,48,0,0,0,-6,0,-9,-1,5,-10,5,-21,0
8/4kn2/4pp2/1p6/p2rQ3/P1P4P/1P5R/2BK1B2 w - - 0 49,1,49,2,0,-3,6,0,9,-2,-6,2,-9,2,-2
8/4kn2/4pp2/1p6/p2Q4/P1P4P/1P5R/2BK1B2 b - - 0 49,0,49,0,0,3,-6,-5,-9,-1,6,-10,-6,-21,-2
8/4k3/4pp2/1p2n3/p2Q4/P1P4P/1P5R/2BK1B2 w - - 1 50,1,50,2,0,-3,6,5,9,2,-8,10,6,20,1
8/4k3/4pp2/1p2n3/p6Q/P1P4P/1P5R/2BK1B2 b - - 2 50,0,50,0,0,3,-6,-5,-9,-2,8,-10,-6,-16,2
8/4k3/4pp2/1p6/p6Q/P1P2n1P/1P5R/2BK1B2 w - - 3 51,1,51,2,0,-3,6,5,9,1,-8,10,6,16,-4
8/4k3/4pp2/1p6/pQ6/P1P2n1P/1P5R/2BK1B2 b - - 4 51,0,51,0,0,3,-6,-5,-9,-3,0,-10,-6,-13,2
8/5k2/4pp2/1p6/pQ6/P1P2n1P/1P5R/2BK1B2 w - - 5 52,1,52,2,0,-3,6,5,9,1,-8,10,6,14,-2
8/5k2/4pp2/1p6/pQ6/P1P2n1P/1P4R1/2BK1B2 b - - 6 52,0,52,0,0,3,-6,-5,-9,-1,8,-9,-12,-14,-1
8/5k2/4pp2/1p4n1/pQ6/P1P4P/1P4R1/2BK1B2 w - - 7 53,1,53,2,0,-3,6,5,9,1,-4,8,9,14,0
8/5k2/4pp2/1p4B1/pQ6/P1P4P/1P4R1/3K1B2 b - - 0 53,0,53,0,0,0,-6,-5,-9,0,0,-11,-8,-14,-1
8/5k2/5p2/1p2p1B1/pQ6/P1P4P/1P4R1/3K1B2 w - - 0 54,1,54,2,0,0,6,5,9,0,0,11,8,14,0
8/5k2/5p2/1p2p3/pQ6/P1P4P/1P4R1/2BK1B2 b - - 1 54,0,54,0,0,0,-6,-5,-9,-1,0,-9,-12,-14,-2
4k3/8/5p2/1p2p3/pQ6/P1P4P/1P4R1/2BK1B2 w - - 2 55,1,55,2,0,0,6,5,9,1,0,9,12,14,1
4k3/8/5p2/1Q2p3/p7/P1P4P/1P4R1/2BK1B2 b - - 0 55,0,55,0,-1,0,-6,-5,-9,-4,0,-8,-12,-17,0
5k2/8/5p2/1Q2p3/p7/P1P4P/1P4R1/2BK1B2 w - - 1 56,1,56,2,1,0,6,5,9,2,0,8,12,17,2
5k2/3Q4/5p2/4p3/p7/P1P4P/1P4R1/2BK1B2 b - - 2 56,0,56,0,-1,0,-6,-5,-9,-2,0,-10,-12,-21,-4
5k2/3Q4/8/4pp2/p7/P1P4P/1P4R1/2BK1B2 w - - 0 57,1,57,2,1,0,6,5,9,2,0,10,12,20,4
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,0,1,2,0,0,0,0,0,1,-1,-5,0,-4,-1
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,1,2,0,0,0,0,0,0,0,0,0,0,2,0
rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,0,2,2,-1,0,0,0,0,-1,0,0,0,-1,0
rnbqkbnr/pp2pppp/2p5/3P4/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 3,1,3,0,1,0,0,0,0,2,1,0,0,-2,0
rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,0,3,2,-1,0,0,0,0,0,-2,-5,0,0,-1
rnbqkb1r/pp2pppp/2p2n2/3P4/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,1,4,0,1,0,0,0,0,2,-2,5,-1,0,1
rnbqkb1r/pp2pppp/2P2n2/8/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 4,0,4,2,-2,0,0,0,0,-4,3,-5,1,1,-2
r1bqkb1r/pp2pppp/2n2n2/8/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 5,1,5,0,1,0,0,0,0,3,-5,5,-2,-1,1
r1bqkb1r/pp2pppp/2n2n2/8/3P4/4B3/PPP2PPP/RN1QKBNR b KQkq - 1 5,0,5,2,-1,0,0,0,0,-3,5,-5,2,0,-1
r1bqkb1r/pp2pp1p/2n2np1/8/3P4/4B3/PPP2PPP/RN1QKBNR w KQkq - 0 6,1,6,0,1,0,0,0,0,4,-5,3,-2,0,1
r1bqkb1r/pp2pp1p/2n2np1/8/2BP4/4B3/PPP2PPP/RN1QK1NR b KQkq - 1 6,0,6,2,-1,0,0,0,0,-3,5,-7,2,0,-2
r1bqkb1r/pp2pp1p/2n3p1/8/2BP2n1/4B3/PPP2PPP/RN1QK1NR w KQkq - 2 7,1,7,0,1,0,0,0,0,0,-5,9,-2,-1,2
r1bqkb1r/pp2pp1p/2n3p1/8/2BP2n1/2N1B3/PPP2PPP/R2QK1NR b KQkq - 3 7,0,7,2,-1,0,0,0,0,1,2,-9,0,0,-2
r1bqk2r/pp2ppbp/2n3p1/8/2BP2n1/2N1B3/PPP2PPP/R2QK1NR w KQkq - 4 8,1,8,0,1,0,0,0,0,-1,-2,6,-1,0,0
r1bqk2r/pp2ppbp/2n3p1/8/3P2n1/1BN1B3/PPP2PPP/R2QK1NR b KQkq - 5 8,0,8,2,-1,0,0,0,0,3,2,-2,1,0,0
r1bqk2r/pp2ppbp/6p1/8/3n2n1/1BN1B3/PPP2PPP/R2QK1NR w KQkq - 0 9,1,9,0,0,0,0,0,0,-4,-5,4,-1,2,-1
r1bqk2r/pp2ppbp/6p1/8/3B2n1/1BN5/PPP2PPP/R2QK1NR b KQkq - 0 9,0,9,2,0,-3,0,0,0,4,-3,-4,1,0,0
r1bqk2r/pp2pp1p/6p1/8/3b2n1/1BN5/PPP2PPP/R2QK1NR w KQkq - 0 10,1,10,0,0,3,-3,0,0,-4,3,-6,-1,2,0
