board,turn,move_num,result,material_balance_pawn,material_balance_knight,material_balance_bishop,material_balance_rook,material_balance_queen,mobility_pawn,mobility_knight,mobility_bishop,mobility_rook,mobility_queen,mobility_king
r3nr2/1p2q1bk/4b1pp/p1p1Pp2/5P2/1PNNP2P/PBB2RP1/3RQ1K1 b - - 1 28,0,28,1,-1,-3,0,0,0,-1,-6,6,1,5,-1
3rnr2/1p2q1bk/4b1pp/p1p1Pp2/5P2/1PNNP2P/PBB2RP1/3RQ1K1 w - - 2 29,1,29,1,1,3,0,0,0,1,6,-6,-4,-4,1
3rnr2/1p2q1bk/4b1pp/p1p1Pp2/5P2/1PNNP2P/PBB2RP1/R3Q1K1 b - - 3 29,0,29,1,-1,-3,0,0,0,-1,-7,6,5,1,-1
3rnr2/1p2qbbk/6pp/p1p1Pp2/5P2/1PNNP2P/PBB2RP1/R3Q1K1 w - - 4 30,1,30,1,1,3,0,0,0,2,7,-4,-3,-2,1
3rnr2/1p2qbbk/6pp/p1p1Pp2/5P2/BPNNP2P/P1B2RP1/R3Q1K1 b - - 5 30,0,30,1,-1,-3,0,0,0,0,-8,2,3,2,-1
3rnr2/4qbbk/1p4pp/p1p1Pp2/5P2/BPNNP2P/P1B2RP1/R3Q1K1 w - - 0 31,1,31,1,1,3,0,0,0,1,8,-2,-3,-4,1
3rnr2/4qbbk/1p4pp/p1N1Pp2/5P2/BPN1P2P/P1B2RP1/R3Q1K1 b - - 0 31,0,31,1,-2,-3,0,0,0,-1,-11,0,5,5,-1
3rnr2/4qbbk/6pp/p1p1Pp2/5P2/BPN1P2P/P1B2RP1/R3Q1K1 w - - 0 32,1,32,1,2,0,0,0,0,2,4,1,-5,-4,1
3rnr2/4qbbk/6pp/p1p1Pp2/5P2/BPN1P2P/P1B2RP1/2R1Q1K1 b - - 1 32,0,32,1,-2,0,0,0,0,-2,-4,0,5,6,-1
3r1r2/2n1qbbk/6pp/p1p1Pp2/5P2/BPN1P2P/P1B2RP1/2R1Q1K1 w - - 2 33,1,33,1,2,0,0,0,0,2,1,-1,-7,-4,1
3r1r2/2n1qbbk/6pp/p1p1Pp2/N4P2/BP2P2P/P1B2RP1/2R1Q1K1 b - - 3 33,0,33,1,-2,0,0,0,0,-3,2,1,7,1,-1
3r1r2/4qbbk/n5pp/p1p1Pp2/N4P2/BP2P2P/P1B2RP1/2R1Q1K1 w - - 4 34,1,34,1,2,0,0,0,0,3,1,-1,-7,-4,1
3r1r2/4qbbk/n5pp/p1p1Pp2/N4P2/BP2P2P/P4RP1/1BR1Q1K1 b - - 5 34,0,34,1,-2,0,0,0,0,-3,-1,2,3,4,-1
3r1r2/4qbbk/6pp/p1p1Pp2/Nn3P2/BP2P2P/P4RP1/1BR1Q1K1 w - - 6 35,1,35,1,2,0,0,0,0,2,-2,-3,-3,-5,1
3r1r2/4qbbk/6pp/p1p1Pp2/Nn3P2/BP2P2P/P4RP1/1BR1Q2K b - - 7 35,0,35,1,-2,0,0,0,0,-2,2,3,3,4,0
3r1r2/5bbk/6pp/p1p1Pp2/Nn3P1q/BP2P2P/P4RP1/1BR1Q2K w - - 8 36,1,36,1,2,0,0,0,0,1,-2,-3,-3,-2,0
3r1r2/5bbk/6pp/p1N1Pp2/1n3P1q/BP2P2P/P4RP1/1BR1Q2K b - - 0 36,0,36,1,-3,0,0,0,0,-1,-1,3,4,2,0
3rr3/5bbk/6pp/p1N1Pp2/1n3P1q/BP2P2P/P4RP1/1BR1Q2K w - - 1 37,1,37,1,3,0,0,0,0,1,1,-3,-6,-2,0
3rr3/5bbk/6pp/p1N1Pp2/1n3P1q/BP2P2P/P4RPK/1BR1Q3 b - - 2 37,0,37,1,-3,0,0,0,0,-1,-1,3,6,1,0
4r3/5bbk/6pp/p1NrPp2/1n3P1q/BP2P2P/P4RPK/1BR1Q3 w - - 3 38,1,38,1,3,0,0,0,0,1,2,0,-9,-2,0
4r3/5bbk/6pp/p2rPp2/Nn3P1q/BP2P2P/P4RPK/1BR1Q3 b - - 4 38,0,38,1,-3,0,0,0,0,-2,1,0,6,2,0
4r3/5b1k/6pp/p2rbp2/Nn3P1q/BP2P2P/P4RPK/1BR1Q3 w - - 0 39,1,39,1,2,0,0,0,0,2,-1,-7,-4,-2,-1
4r3/5b1k/6pp/p2rPp2/Nn5q/BP2P2P/P4RPK/1BR1Q3 b - - 0 39,0,39,1,-2,0,-3,0,0,-1,1,-4,4,5,1
8/5b1k/6pp/p2rrp2/Nn5q/BP2P2P/P4RPK/1BR1Q3 w - - 0 40,1,40,1,1,0,3,0,0,0,-1,3,2,-5,-1
8/5b1k/6pp/p2rrp2/Nn5q/1P2P2P/PB3RPK/1BR1Q3 b - - 1 40,0,40,1,-1,0,-3,0,0,-1,2,-6,-1,5,1
8/4qb1k/6pp/p2rrp2/Nn6/1P2P2P/PB3RPK/1BR1Q3 w - - 2 41,1,41,1,1,0,3,0,0,2,-2,6,3,-5,0
8/4qb1k/6pp/p2rrp2/Nn1B4/1P2P2P/P4RPK/1BR1Q3 b - - 3 41,0,41,1,-1,0,-3,0,0,-2,1,-8,-7,5,0
8/4qb1k/6pp/p3rp2/Nn1r4/1P2P2P/P4RPK/1BR1Q3 w - - 0 42,1,42,1,1,0,0,0,0,3,-2,-2,-2,-5,0
8/4qb1k/6pp/p3rp2/Nn1r4/1PQ1P2P/P4RPK/1BR5 b - - 1 42,0,42,1,-1,0,0,0,0,-3,3,2,4,0,0
8/4qb1k/6pp/p2rrp2/Nn6/1PQ1P2P/P4RPK/1BR5 w - - 2 43,1,43,1,1,0,0,0,0,2,-2,1,2,1,0
8/2Q1qb1k/6pp/p2rrp2/Nn6/1P2P2P/P4RPK/1BR5 b - - 3 43,0,43,1,-1,0,0,0,0,-2,1,-1,-6,-5,0
8/2Q1qb1k/6pp/p2r1p2/Nn6/1P2r2P/P4RPK/1BR5 w - - 0 44,1,44,1,0,0,0,0,0,1,-1,1,-3,5,-1
8/4Qb1k/6pp/p2r1p2/Nn6/1P2r2P/P4RPK/1BR5 b - - 0 44,0,44,1,0,0,0,0,-9,-1,1,-4,2,-18,1
8/4rb1k/6pp/p2r1p2/Nn6/1P5P/P4RPK/1BR5 w - - 0 45,1,45,1,0,0,0,0,0,1,-1,1,-1,0,0
8/4rb1k/1N4pp/p2r1p2/1n6/1P5P/P4RPK/1BR5 b - - 1 45,0,45,1,0,0,0,0,0,-1,-1,-1,1,0,0
8/4rb1k/1N4pp/pr3p2/1n6/1P5P/P4RPK/1BR5 w - - 2 46,1,46,1,0,0,0,0,0,1,0,-2,5,0,0
8/4rb1k/6pp/pr3p2/1nN5/1P5P/P4RPK/1BR5 b - - 3 46,0,46,1,0,0,0,0,0,-1,-2,1,2,0,0
8/4rb1k/6pp/p2r1p2/1nN5/1P5P/P4RPK/1BR5 w - - 4 47,1,47,1,0,0,0,0,0,1,3,1,-6,0,0
8/4rb1k/6pp/p2r1p2/1nN5/PP5P/5RPK/1BR5 b - - 0 47,0,47,1,0,0,0,0,0,-1,-2,-2,5,0,0
8/4rb1k/6pp/3r1p2/pnN5/PP5P/5RPK/1BR5 w - - 0 48,1,48,1,0,0,0,0,0,1,2,2,-6,0,0
8/4rb1k/6pp/3r1p2/pn6/PP5P/1N3RPK/1BR5 b - - 1 48,0,48,1,0,0,0,0,0,-1,1,-2,3,0,0
8/4rb1k/6pp/5p2/pn1r4/PP5P/1N3RPK/1BR5 w - - 2 49,1,49,1,0,0,0,0,0,1,-2,-1,-4,0,0
8/4rb1k/6pp/5p2/Nn1r4/PP5P/5RPK/1BR5 b - - 0 49,0,49,1,-1,0,0,0,0,-1,2,1,2,0,0
8/4rb1k/6pp/5p2/N2r4/PP1n3P/5RPK/1BR5 w - - 1 50,1,50,1,1,0,0,0,0,1,-4,-3,-1,0,0
8/4rb1k/6pp/5p2/N2r4/PP1n3P/5RPK/1B1R4 b - - 2 50,0,50,1,-1,0,0,0,0,-1,4,3,6,0,0
8/4rb1k/6pp/5p2/N2r4/PP5P/5nPK/1B1R4 w - - 0 51,1,51,1,1,0,0,-5,0,1,-2,-1,-17,0,-1
8/4rb1k/6pp/5p2/N2R4/PP5P/5nPK/1B6 b - - 0 51,0,51,1,-1,0,0,0,0,-1,2,1,-2,0,1
8/4rbk1/6pp/5p2/N2R4/PP5P/5nPK/1B6 w - - 1 52,1,52,1,1,0,0,0,0,1,-2,-1,2,0,-3
8/4rbk1/6pp/5p2/NP1R4/P6P/5nPK/1B6 b - - 0 52,0,52,1,-1,0,0,0,0,-1,2,2,-1,0,3
8/5bk1/6pp/5p2/NP1R4/P3r2P/5nPK/1B6 w - - 1 53,1,53,1,1,0,0,0,0,1,-2,-2,-2,0,-4
8/5bk1/6pp/2N2p2/1P1R4/P3r2P/5nPK/1B6 b - - 2 53,0,53,1,-1,0,0,0,0,-2,-2,2,2,0,4
8/5bk1/6p1/2N2p1p/1P1R4/P3r2P/5nPK/1B6 w - - 0 54,1,54,1,1,0,0,0,0,2,2,-2,-2,0,-5
8/5bk1/6p1/2N2p1p/1P1R4/P3r2P/5nP1/1B4K1 b - - 1 54,0,54,1,-1,0,0,0,0,-2,-2,2,2,0,3
8/5bk1/6p1/2N2p1p/1P1R4/P3r2P/6P1/1B4Kn w - - 2 55,1,55,1,1,0,0,0,0,2,6,-2,-2,0,-3
8/5bk1/6p1/2N2p1p/1P6/P3r2P/6P1/1B1R2Kn b - - 3 55,0,55,1,-1,0,0,0,0,-2,-6,2,4,0,3
8/5bk1/6p1/2N2p1p/1P6/P3r1nP/6P1/1B1R2K1 w - - 4 56,1,56,1,1,0,0,0,0,0,4,-2,-2,0,-4
8/5bk1/6p1/2N2p1p/PP6/4r1nP/6P1/1B1R2K1 b - - 0 56,0,56,1,-1,0,0,0,0,0,-3,2,2,0,4
8/5bk1/6p1/2N2p1p/PP6/r5nP/6P1/1B1R2K1 w - - 1 57,1,57,1,1,0,0,0,0,0,3,-2,2,0,-4
8/5bk1/6p1/1PN2p1p/P7/r5nP/6P1/1B1R2K1 b - - 0 57,0,57,1,-1,0,0,0,0,0,-3,2,-2,0,4
8/5bk1/6p1/1PN2p1p/P7/r6P/4n1P1/1B1R2K1 w - - 1 58,1,58,1,1,0,0,0,0,-3,-6,-7,-10,0,-2
8/5bk1/6p1/1PN2p1p/P7/r6P/4n1PK/1B1R4 b - - 2 58,0,58,1,-1,0,0,0,0,-2,-1,2,-2,0,5
8/5bk1/6p1/1PN2p1p/P7/2r4P/4n1PK/1B1R4 w - - 3 59,1,59,1,1,0,0,0,0,2,2,-2,1,0,-5
8/5bk1/N5p1/1P3p1p/P7/2r4P/4n1PK/1B1R4 b - - 4 59,0,59,1,-1,0,0,0,0,-2,1,2,2,0,5
8/5bk1/N5p1/1P3p1p/P7/1r5P/4n1PK/1B1R4 w - - 5 60,1,60,1,1,0,0,0,0,2,-2,0,1,0,-5
8/5bk1/6p1/1PN2p1p/P7/1r5P/4n1PK/1B1R4 b - - 6 60,0,60,1,-1,0,0,0,0,-2,-1,0,-1,0,5
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,0,1,1,0,0,0,0,0,2,-3,0,-1,0,0
rnbqkbnr/pp1ppppp/8/2p5/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,1,2,1,0,0,0,0,0,-1,3,0,1,-3,0
rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,0,2,1,0,0,0,0,0,2,-3,-5,-1,2,-1
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 1 3,1,3,1,0,0,0,0,0,-2,0,5,0,-2,1
r1bqkbnr/pp1ppppp/2n5/2p5/P3P3/5N2/1PPP1PPP/RNBQKB1R b KQkq - 0 3,0,3,1,0,0,0,0,0,3,0,-5,-2,2,-1
r1bqkbnr/pp1p1ppp/2n1p3/2p5/P3P3/5N2/1PPP1PPP/RNBQKB1R w KQkq - 0 4,1,4,1,0,0,0,0,0,-2,-2,3,2,-6,0
r1bqkbnr/pp1p1ppp/2n1p3/2p5/P2PP3/5N2/1PP2PPP/RNBQKB1R b KQkq - 0 4,0,4,1,0,0,0,0,0,3,1,-8,-2,4,-1
r1bqk1nr/pp1pbppp/2n1p3/2p5/P2PP3/5N2/1PP2PPP/RNBQKB1R w KQkq - 1 5,1,5,1,0,0,0,0,0,-3,1,5,2,0,1
r1bqk1nr/pp1pbppp/2n1p3/P1p5/3PP3/5N2/1PP2PPP/RNBQKB1R b KQkq - 0 5,0,5,1,0,0,0,0,0,2,-1,-5,-3,0,-1
r1bqk1nr/pp1pbppp/2n1p3/P7/3pP3/5N2/1PP2PPP/RNBQKB1R w KQkq - 0 6,1,6,1,-1,0,0,0,0,-3,3,2,3,1,1
r1bqk1nr/pp1pbppp/2n1p3/P7/3NP3/8/1PP2PPP/RNBQKB1R b KQkq - 0 6,0,6,1,0,0,0,0,0,0,-3,-2,-3,-3,-1
r1b1k1nr/ppqpbppp/2n1p3/P7/3NP3/8/1PP2PPP/RNBQKB1R w KQkq - 1 7,1,7,1,0,0,0,0,0,0,2,1,3,-3,0
r1b1k1nr/ppqpbppp/2n1p3/P7/3NP3/2P5/1P3PPP/RNBQKB1R b KQkq - 0 7,0,7,1,0,0,0,0,0,1,-2,-1,-3,0,0
r1b1k2r/ppqpbppp/2n1pn2/P7/3NP3/2P5/1P3PPP/RNBQKB1R w KQkq - 1 8,1,8,1,0,0,0,0,0,1,-1,4,1,0,-1
r1b1k2r/ppqpbppp/2n1pn2/P7/3NP3/2PB4/1P3PPP/RNBQK2R b KQkq - 2 8,0,8,1,0,0,0,0,0,-1,1,-5,-2,1,-1
r1b2rk1/ppqpbppp/2n1pn2/P7/3NP3/2PB4/1P3PPP/RNBQK2R w KQ - 3 9,1,9,1,0,0,0,0,0,1,-1,6,2,-1,3
r1b2rk1/ppqpbppp/2n1pn2/PN6/4P3/2PB4/1P3PPP/RNBQK2R b KQ - 4 9,0,9,1,0,0,0,0,0,-2,4,-4,-2,1,-3
r1bq1rk1/pp1pbppp/2n1pn2/PN6/4P3/2PB4/1P3PPP/RNBQK2R w KQ - 5 10,1,10,1,0,0,0,0,0,2,-3,5,3,4,3
r1bq1rk1/pp1pbppp/2n1pn2/PN6/4PB2/2PB4/1P3PPP/RN1QK2R b KQ - 6 10,0,10,1,0,0,0,0,0,-1,3,-10,-3,-5,-3
r1bq1rk1/pp2bppp/2nppn2/PN6/4PB2/2PB4/1P3PPP/RN1QK2R w KQ - 0 11,1,11,1,0,0,0,0,0,2,-4,11,3,4,3
r1bq1rk1/pp2bppp/2nppn2/PN6/4PB2/N1PB4/1P3PPP/R2QK2R b KQ - 1 11,0,11,1,0,0,0,0,0,-2,4,-12,-3,-5,-3
r1bq1rk1/1p2bppp/p1nppn2/PN6/4PB2/N1PB4/1P3PPP/R2QK2R w KQ - 0 12,1,12,1,0,0,0,0,0,1,-5,12,2,5,3
r1bq1rk1/1p2bppp/p1nppn2/P7/3NPB2/N1PB4/1P3PPP/R2QK2R b KQ - 1 12,0,12,1,0,0,0,0,0,-1,0,-14,-2,-5,-3
r1bq1rk1/1p2bppp/p2ppn2/n7/3NPB2/N1PB4/1P3PPP/R2QK2R w KQ - 0 13,1,13,1,-1,0,0,0,0,1,3,14,2,6,3
r1bq1rk1/1p2bppp/p2ppn2/n7/4PB2/N1PB1N2/1P3PPP/R2QK2R b KQ - 1 13,0,13,1,1,0,0,0,0,0,-1,-14,-2,-3,-3
r1bq1rk1/1p2bppp/p1nppn2/8/4PB2/N1PB1N2/1P3PPP/R2QK2R w KQ - 2 14,1,14,1,-1,0,0,0,0,-1,-2,14,2,2,3
r1bq1rk1/1p2bppp/p1nppn2/8/4PB2/N1PB1N2/1P3PPP/R2Q1RK1 b - - 3 14,0,14,1,1,0,0,0,0,1,2,-13,-1,-3,0
r1bq1rk1/1p2bpp1/p1nppn1p/8/4PB2/N1PB1N2/1P3PPP/R2Q1RK1 w - - 0 15,1,15,1,-1,0,0,0,0,0,-3,13,1,3,-1
r1bq1rk1/1p2bpp1/p1nppn1p/4P3/5B2/N1PB1N2/1P3PPP/R2Q1RK1 b - - 0 15,0,15,1,1,0,0,0,0,-1,4,-15,-1,-3,0
r1bq1rk1/1p2bpp1/p2ppn1p/4n3/5B2/N1PB1N2/1P3PPP/R2Q1RK1 w - - 0 16,1,16,1,-2,0,0,0,0,0,-4,16,1,3,0
r1bq1rk1/1p2bpp1/p2ppn1p/4N3/5B2/N1PB4/1P3PPP/R2Q1RK1 b - - 0 16,0,16,1,2,-3,0,0,0,0,-4,-15,-1,-6,0
r1bq1rk1/1p2bpp1/p2pp2p/3nN3/5B2/N1PB4/1P3PPP/R2Q1RK1 w - - 1 17,1,17,1,-2,3,0,0,0,-1,4,12,1,6,0
r1bq1rk1/1p2bNp1/p2pp2p/3n4/5B2/N1PB4/1P3PPP/R2Q1RK1 b - - 0 17,0,17,1,1,-3,0,0,0,-1,-3,-14,0,-6,0
r1bq2k1/1p2brp1/p2pp2p/3n4/5B2/N1PB4/1P3PPP/R2Q1RK1 w - - 0 18,1,18,1,-1,0,0,0,0,1,-3,13,-2,5,-1
r1bq2k1/1p2brp1/p2pp2p/3n4/8/N1PB2B1/1P3PPP/R2Q1RK1 b - - 1 18,0,18,1,1,0,0,0,0,0,3,-9,4,-5,1
r1bq2k1/1p2brp1/pn1pp2p/8/8/N1PB2B1/1P3PPP/R2Q1RK1 w - - 2 19,1,19,1,-1,0,0,0,0,1,0,9,-4,7,-1
r1bq2k1/1p2brp1/pn1pp2p/8/8/N1PB2B1/1P3PPP/R2QR1K1 b - - 3 19,0,19,1,1,0,0,0,0,-1,0,-10,-1,-6,0
r1bq2k1/1p2b1p1/pn1ppr1p/8/8/N1PB2B1/1P3PPP/R2QR1K1 w - - 4 20,1,20,1,-1,0,0,0,0,1,0,13,0,6,-1
r1bq2k1/1p2b1p1/pn1ppr1p/8/7B/N1PB4/1P3PPP/R2QR1K1 b - - 5 20,0,20,1,1,0,0,0,0,-2,0,-12,0,-6,1
r1bq2k1/1p2b3/pn1ppr1p/6p1/7B/N1PB4/1P3PPP/R2QR1K1 w - - 0 21,1,21,1,-1,0,0,0,0,2,0,11,0,6,-2
r1bq2k1/1p2b3/pn1ppr1p/6p1/8/N1PB2B1/1P3PPP/R2QR1K1 b - - 1 21,0,21,1,1,0,0,0,0,-2,0,-13,0,-6,2
r2q2k1/1p1bb3/pn1ppr1p/6p1/8/N1PB2B1/1P3PPP/R2QR1K1 w - - 2 22,1,22,1,-1,0,0,0,0,2,0,9,-1,5,-2
r2q2k1/1p1bb3/pn1ppr1p/6p1/8/N1PB2B1/1P2QPPP/R3R1K1 b - - 3 22,0,22,1,1,0,0,0,0,-2,0,-7,2,-6,2
r2q2k1/1p1bb3/pn1p1r1p/4p1p1/8/N1PB2B1/1P2QPPP/R3R1K1 w - - 0 23,1,23,1,-1,0,0,0,0,2,0,2,-3,5,-2
r2q2k1/1p1bb3/pn1p1r1p/4p1p1/8/2PB2B1/1PN1QPPP/R3R1K1 b - - 1 23,0,23,1,1,0,0,0,0,-2,0,0,-1,-4,2
r2q2k1/1p2b3/pnbp1r1p/4p1p1/8/2PB2B1/1PN1QPPP/R3R1K1 w - - 2 24,1,24,1,-1,0,0,0,0,2,-1,1,1,3,-2
r2q2k1/1p2b3/pnbp1r1p/4p1p1/1N6/2PB2B1/1P2QPPP/R3R1K1 b - - 3 24,0,24,1,1,0,0,0,0,-1,0,-3,-1,-4,2
r2qb1k1/1p2b3/pn1p1r1p/4p1p1/1N6/2PB2B1/1P2QPPP/R3R1K1 w - - 4 25,1,25,1,-1,0,0,0,0,1,0,4,1,6,-2
r2qb1k1/1p2b3/pn1p1r1p/4p1p1/1NP5/3B2B1/1P2QPPP/R3R1K1 b - - 0 25,0,25,1,1,0,0,0,0,-1,0,-1,-1,-6,2
2rqb1k1/1p2b3/pn1p1r1p/4p1p1/1NP5/3B2B1/1P2QPPP/R3R1K1 w - - 1 26,1,26,1,-1,0,0,0,0,1,0,1,-2,8,-2
2rqb1k1/1p2b3/pn1p1r1p/4p1p1/1NP5/3B2B1/1P2QPPP/3RR1K1 b - - 2 26,0,26,1,1,0,0,0,0,-1,0,-1,9,-7,2
2rq2k1/1p2bb2/pn1p1r1p/4p1p1/1NP5/3B2B1/1P2QPPP/3RR1K1 w - - 3 27,1,27,1,-1,0,0,0,0,1,0,2,-7,5,-1
2rq2k1/1p2bb2/pn1p1r1p/4p1p1/1NP5/3B2BP/1P2QPP1/3RR1K1 b - - 0 27,0,27,1,1,0,0,0,0,0,0,-3,7,-5,0
2r3k1/1p1qbb2/pn1p1r1p/4p1p1/1NP5/3B2BP/1P2QPP1/3RR1K1 w - - 1 28,1,28,1,-1,0,0,0,0,0,1,2,-10,-1,0
2r3k1/1p1qbb2/pn1p1r1p/4p1p1/1NP5/1P1B2BP/4QPP1/3RR1K1 b - - 0 28,0,28,1,1,0,0,0,0,1,-1,-2,10,-1,0
2r2bk1/1p1q1b2/pn1p1r1p/4p1p1/1NP5/1P1B2BP/4QPP1/3RR1K1 w - - 1 29,1,29,1,-1,0,0,0,0,-1,1,2,-9,0,1
2r2bk1/1p1q1b2/pn1p1r1p/4p1p1/1NP5/1P1BQ1BP/5PP1/3RR1K1 b - - 2 29,0,29,1,1,0,0,0,0,1,-1,-4,8,0,-1
2r2bk1/1p1q1b2/1n1p1r1p/p3p1p1/1NP5/1P1BQ1BP/5PP1/3RR1K1 w - - 0 30,1,30,1,-1,0,0,0,0,-2,1,4,-8,0,1
2r2bk1/1p1q1b2/1Q1p1r1p/p3p1p1/1NP5/1P1B2BP/5PP1/3RR1K1 b - - 0 30,0,30,1,1,-3,0,0,0,2,-5,-4,5,-1,-1
2r2bk1/1p1q1b2/1Q1p1r1p/4p1p1/1pP5/1P1B2BP/5PP1/3RR1K1 w - - 0 31,1,31,1,-1,0,0,0,0,0,0,4,-5,2,1
2r2bk1/1p1q1b2/3p1r1p/4p1p1/1QP5/1P1B2BP/5PP1/3RR1K1 b - - 0 31,0,31,1,0,0,0,0,0,2,0,-4,5,1,-1
4rbk1/1p1q1b2/3p1r1p/4p1p1/1QP5/1P1B2BP/5PP1/3RR1K1 w - - 1 32,1,32,1,0,0,0,0,0,-2,0,5,-3,-1,1
4rbk1/1p1q1b2/3p1r1p/4p1p1/2P5/1P1B2BP/3Q1PP1/3RR1K1 b - - 2 32,0,32,1,0,0,0,0,0,1,0,-5,4,0,-1
4rbk1/1p1q4/3p1r1p/4p1pb/2P5/1P1B2BP/3Q1PP1/3RR1K1 w - - 3 33,1,33,1,0,0,0,0,0,0,0,4,-5,-3,0
4rbk1/1p1q4/3p1r1p/4p1pb/2P5/1P1B2BP/3Q1PP1/R3R1K1 b - - 4 33,0,33,1,0,0,0,0,0,0,0,-4,-5,2,0
4rbk1/1p1q4/3p1rbp/4p1p1/2P5/1P1B2BP/3Q1PP1/R3R1K1 w - - 5 34,1,34,1,0,0,0,0,0,-1,0,3,6,-2,-1
4rbk1/1p1q4/3p1rbp/R3p1p1/2P5/1P1B2BP/3Q1PP1/4R1K1 b - - 6 34,0,34,1,0,0,0,0,0,1,0,-3,-8,3,1
4rb2/1p1q2k1/3p1rbp/R3p1p1/2P5/1P1B2BP/3Q1PP1/4R1K1 w - - 7 35,1,35,1,0,0,0,0,0,-1,0,4,8,-1,-1
4rb2/1p1q2k1/3p1rBp/R3p1p1/2P5/1P4BP/3Q1PP1/4R1K1 b - - 0 35,0,35,1,0,0,-3,0,0,1,0,-12,-7,-3,0
4rb2/1p1q2k1/3p2rp/R3p1p1/2P5/1P4BP/3Q1PP1/4R1K1 w - - 0 36,1,36,1,0,0,0,0,0,-1,0,3,12,3,-2
4rb2/1p1q2k1/3p2rp/4R1p1/2P5/1P4BP/3Q1PP1/4R1K1 b - - 0 36,0,36,1,-1,0,0,0,0,1,0,-2,-11,-4,2
5b2/1p1q2k1/3p2rp/4r1p1/2P5/1P4BP/3Q1PP1/4R1K1 w - - 0 37,1,37,1,1,0,0,-5,0,0,0,3,-5,3,-2
5b2/1p1q2k1/3p2rp/4R1p1/2P5/1P4BP/3Q1PP1/6K1 b - - 0 37,0,37,1,-1,0,0,0,0,1,0,-2,-11,-4,2
5b2/1p1q2k1/3pr2p/4R1p1/2P5/1P4BP/3Q1PP1/6K1 w - - 1 38,1,38,1,1,0,0,0,0,-1,0,2,6,8,-3
5b2/1p1q2k1/3pr2p/4R1p1/2P5/1P1Q2BP/5PP1/6K1 b - - 2 38,0,38,1,-1,0,0,0,0,1,0,-2,-6,-7,1
8/1p1qb1k1/3pr2p/4R1p1/2P5/1P1Q2BP/5PP1/6K1 w - - 3 39,1,39,1,1,0,0,0,0,-1,0,0,8,9,-2
8/1p1qb1k1/3pr2p/6p1/2P1R3/1P1Q2BP/5PP1/6K1 b - - 4 39,0,39,1,-1,0,0,0,0,0,0,-2,-5,-5,4
8/1p1qb1k1/3p3p/6p1/2P1r3/1P1Q2BP/5PP1/6K1 w - - 0 40,1,40,1,1,0,0,-5,0,0,0,2,-10,2,-4
8/1p1qb1k1/3p3p/6p1/2P1Q3/1P4BP/5PP1/6K1 b - - 0 40,0,40,1,-1,0,0,0,0,0,0,-2,0,-9,2
8/1p1q2k1/3p1b1p/6p1/2P1Q3/1P4BP/5PP1/6K1 w - - 1 41,1,41,1,1,0,0,0,0,0,0,-2,0,8,-1
8/1p1q2k1/3p1b1p/6p1/2P5/1P1Q2BP/5PP1/6K1 b - - 2 41,0,41,1,-1,0,0,0,0,0,0,2,0,-3,1
8/1p1qb1k1/3p3p/6p1/2P5/1P1Q2BP/5PP1/6K1 w - - 3 42,1,42,1,1,0,0,0,0,0,0,2,0,5,-2
8/1p1qb1k1/3p3p/6p1/2P5/1P4BP/4QPP1/6K1 b - - 4 42,0,42,1,-1,0,0,0,0,0,0,-2,0,-5,4
8/1p1q2k1/3p1b1p/6p1/2P5/1P4BP/4QPP1/6K1 w - - 5 43,1,43,1,1,0,0,0,0,0,0,-2,0,4,-3
8/1p1q2k1/3p1b1p/6p1/2P5/1P3QBP/5PP1/6K1 b - - 6 43,0,43,1,-1,0,0,0,0,2,0,2,0,-1,3
2q5/1p4k1/3p1b1p/6p1/2P5/1P3QBP/5PP1/6K1 w - - 7 44,1,44,1,1,0,0,0,0,-2,0,-2,0,-2,-3
2q5/1p4k1/3B1b1p/6p1/2P5/1P3Q1P/5PP1/6K1 b - - 0 44,0,44,1,-2,0,0,0,0,-1,0,-4,0,1,2
8/1p1q2k1/3B1b1p/6p1/2P5/1P3Q1P/5PP1/6K1 w - - 1 45,1,45,1,2,0,0,0,0,1,0,4,0,1,-2
8/1p1q2k1/5b1p/6p1/2P5/1P3QBP/5PP1/6K1 b - - 2 45,0,45,1,-2,0,0,0,0,1,0,0,0,5,3
8/1p4k1/5b1p/6p1/2Pq4/1P3QBP/5PP1/6K1 w - - 3 46,1,46,1,2,0,0,0,0,-1,0,4,0,-7,-3
8/1p4k1/5b1p/6p1/2Pq4/1P3QBP/5PPK/8 b - - 4 46,0,46,1,-2,0,0,0,0,1,0,-3,0,7,4
8/1p4k1/1q3b1p/6p1/2P5/1P3QBP/5PPK/8 w - - 5 47,1,47,1,2,0,0,0,0,1,0,-1,0,-1,-4
8/1p4k1/1q3b1p/6p1/2P5/1P2Q1BP/5PPK/8 b - - 6 47,0,47,1,-2,0,0,0,0,-3,0,1,0,-3,4
