board,turn,move_num,result
2bN3r/4b2p/1r2pk2/8/4B3/pP4P1/2R2P1P/1K1R4 w - - 1 34,1,34,1
2RN3r/4b2p/1r2pk2/8/4B3/pP4P1/5P1P/1K1R4 b - - 0 34,0,34,1
2RN3r/4b2p/4pk2/8/4B3/pr4P1/5P1P/1K1R4 w - - 0 35,1,35,1
2RN3r/4b2p/4pk2/8/4B3/pr4P1/5P1P/K2R4 b - - 1 35,0,35,1
2RN3r/4b2p/4pk2/8/4B3/p5P1/1r3P1P/K2R4 w - - 2 36,1,36,1
2RN3r/4b2p/4pk2/8/4BP2/p5P1/1r5P/K2R4 b - - 0 36,0,36,1
2RN3r/4b2p/4pk2/8/4BP2/p5P1/7r/K2R4 w - - 0 37,1,37,1
2RN3r/4b2p/4pk2/8/4BPP1/p7/7r/K2R4 b - - 0 37,0,37,1
2Rb3r/7p/4pk2/8/4BPP1/p7/7r/K2R4 w - - 0 38,1,38,1
2RR3r/7p/4pk2/8/4BPP1/p7/7r/K7 b - - 0 38,0,38,1
2Rr4/7p/4pk2/8/4BPP1/p7/7r/K7 w - - 0 39,1,39,1
3R4/7p/4pk2/8/4BPP1/p7/7r/K7 b - - 0 39,0,39,1
3R4/7p/4pk2/8/4BPP1/p7/5r2/K7 w - - 1 40,1,40,1
3R4/7p/4pk2/5P2/4B1P1/p7/5r2/K7 b - - 0 40,0,40,1
3R4/8/4pk1p/5P2/4B1P1/p7/5r2/K7 w - - 0 41,1,41,1
5R2/8/4pk1p/5P2/4B1P1/p7/5r2/K7 b - - 1 41,0,41,1
5R2/8/4p2p/4kP2/4B1P1/p7/5r2/K7 w - - 2 42,1,42,1
5R2/8/4p2p/4kP2/6P1/p2B4/5r2/K7 b - - 3 42,0,42,1
5R2/8/4p3/4kP1p/6P1/p2B4/5r2/K7 w - - 0 43,1,43,1
4R3/8/4p3/4kP1p/6P1/p2B4/5r2/K7 b - - 1 43,0,43,1
4R3/8/4p3/4kP1p/6P1/p2B4/3r4/K7 w - - 2 44,1,44,1
8/8/4R3/4kP1p/6P1/p2B4/3r4/K7 b - - 0 44,0,44,1
8/8/4R3/5P1p/3k2P1/p2B4/3r4/K7 w - - 1 45,1,45,1
8/8/4R3/5P1P/3k4/p2B4/3r4/K7 b - - 0 45,0,45,1
8/8/4R3/5P1P/8/p1kB4/3r4/K7 w - - 1 46,1,46,1
8/8/4R3/5P1P/8/p1k5/3r4/KB6 b - - 2 46,0,46,1
8/8/4R3/5P1P/8/pk6/3r4/KB6 w - - 3 47,1,47,1
8/8/R7/5P1P/8/pk6/3r4/KB6 b - - 4 47,0,47,1
8/8/R7/5P1P/8/pk6/7r/KB6 w - - 5 48,1,48,1
8/8/R4P2/7P/8/pk6/7r/KB6 b - - 0 48,0,48,1
8/8/R4P2/7P/8/pk6/8/KB5r w - - 1 49,1,49,1
8/5P2/R7/7P/8/pk6/8/KB5r b - - 0 49,0,49,1
8/5P2/R7/7P/8/pk6/8/KBr5 w - - 1 50,1,50,1
5Q2/8/R7/7P/8/pk6/8/KBr5 b - - 0 50,0,50,1
5Q2/8/R7/7P/8/1k6/p7/KBr5 w - - 0 51,1,51,1
5Q2/8/8/7P/8/1k6/R7/KBr5 b - - 0 51,0,51,1
5Q2/8/8/7P/2k5/8/R7/KBr5 w - - 1 52,1,52,1
2Q5/8/8/7P/2k5/8/R7/KBr5 b - - 2 52,0,52,1
2Q5/8/8/7P/3k4/8/R7/KBr5 w - - 3 53,1,53,1
8/8/8/7P/3k4/8/R7/KBQ5 b - - 0 53,0,53,1
8/8/8/4k2P/8/8/R7/KBQ5 w - - 1 54,1,54,1
8/2Q5/8/4k2P/8/8/R7/KB6 b - - 2 54,0,54,1
8/2Q5/5k2/7P/8/8/R7/KB6 w - - 3 55,1,55,1
8/8/5k2/7P/8/8/R7/KBQ5 b - - 4 55,0,55,1
8/6k1/8/7P/8/8/R7/KBQ5 w - - 5 56,1,56,1
8/2Q3k1/8/7P/8/8/R7/KB6 b - - 6 56,0,56,1
8/2Q5/5k2/7P/8/8/R7/KB6 w - - 7 57,1,57,1
8/2Q5/5k2/7P/8/8/5R2/KB6 b - - 8 57,0,57,1
8/2Q5/8/6kP/8/8/5R2/KB6 w - - 9 58,1,58,1
8/2Q5/8/6kP/8/8/6R1/KB6 b - - 10 58,0,58,1
8/2Q5/7k/7P/8/8/6R1/KB6 w - - 11 59,1,59,1
8/2Q5/6Rk/7P/8/8/8/KB6 b - - 12 59,0,59,1
8/2Q5/6R1/7k/8/8/8/KB6 w - - 0 60,1,60,1
8/6Q1/6R1/7k/8/8/8/KB6 b - - 1 60,0,60,1
8/6Q1/6R1/8/7k/8/8/KB6 w - - 2 61,1,61,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,1,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,0,1,1
rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,1,2,1
rnbqkbnr/ppp1pppp/3p4/8/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,0,2,1
rnbqkb1r/ppp1pppp/3p1n2/8/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 1 3,1,3,1
rnbqkb1r/ppp1pppp/3p1n2/8/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 2 3,0,3,1
rnbqkb1r/ppp1pp1p/3p1np1/8/4PP2/2N5/PPPP2PP/R1BQKBNR w KQkq - 0 4,1,4,1
rnbqkb1r/ppp1pp1p/3p1np1/8/2B1PP2/2N5/PPPP2PP/R1BQK1NR b KQkq - 1 4,0,4,1
rnbqkb1r/pp2pp1p/3p1np1/2p5/2B1PP2/2N5/PPPP2PP/R1BQK1NR w KQkq - 0 5,1,5,1
rnbqkb1r/pp2pp1p/3p1np1/2p5/2B1PP2/2N2N2/PPPP2PP/R1BQK2R b KQkq - 1 5,0,5,1
rn1qkb1r/pp2pp1p/3p1np1/2p5/2B1PPb1/2N2N2/PPPP2PP/R1BQK2R w KQkq - 2 6,1,6,1
rn1qkb1r/pp2pp1p/3p1np1/2p5/2B1PPb1/2N2N2/PPPP2PP/R1BQ1RK1 b kq - 3 6,0,6,1
r2qkb1r/pp2pp1p/2np1np1/2p5/2B1PPb1/2N2N2/PPPP2PP/R1BQ1RK1 w kq - 4 7,1,7,1
r2qkb1r/pp2pp1p/2np1np1/2p5/2B1PPb1/2N2N1P/PPPP2P1/R1BQ1RK1 b kq - 0 7,0,7,1
r2qkb1r/pp2pp1p/2np1np1/2p5/2B1PP2/2N2b1P/PPPP2P1/R1BQ1RK1 w kq - 0 8,1,8,1
r2qkb1r/pp2pp1p/2np1np1/2p5/2B1PP2/2N2Q1P/PPPP2P1/R1B2RK1 b kq - 0 8,0,8,1
r2qkb1r/pp2pp1p/3p1np1/2p5/2BnPP2/2N2Q1P/PPPP2P1/R1B2RK1 w kq - 1 9,1,9,1
r2qkb1r/pp2pp1p/3p1np1/2p5/2BnPP2/2N4P/PPPP2P1/R1BQ1RK1 b kq - 2 9,0,9,1
r2qkb1r/1p2pp1p/p2p1np1/2p5/2BnPP2/2N4P/PPPP2P1/R1BQ1RK1 w kq - 0 10,1,10,1
r2qkb1r/1p2pp1p/p2p1np1/2pN4/2BnPP2/7P/PPPP2P1/R1BQ1RK1 b kq - 1 10,0,10,1
r2qkb1r/1p3p1p/p2ppnp1/2pN4/2BnPP2/7P/PPPP2P1/R1BQ1RK1 w kq - 0 11,1,11,1
r2qkb1r/1p3p1p/p2ppnp1/2p5/2BnPP2/4N2P/PPPP2P1/R1BQ1RK1 b kq - 1 11,0,11,1
r2qkb1r/5p1p/p2ppnp1/1pp5/2BnPP2/4N2P/PPPP2P1/R1BQ1RK1 w kq - 0 12,1,12,1
r2qkb1r/5p1p/p2ppnp1/1pp5/2BnPP2/2P1N2P/PP1P2P1/R1BQ1RK1 b kq - 0 12,0,12,1
r2qkb1r/5p1p/p3pnp1/1ppp4/2BnPP2/2P1N2P/PP1P2P1/R1BQ1RK1 w kq - 0 13,1,13,1
r2qkb1r/5p1p/p3pnp1/1ppP4/2Bn1P2/2P1N2P/PP1P2P1/R1BQ1RK1 b kq - 0 13,0,13,1
r2qkb1r/5p1p/p4np1/1ppp4/2Bn1P2/2P1N2P/PP1P2P1/R1BQ1RK1 w kq - 0 14,1,14,1
r2qkb1r/5p1p/p4np1/1ppB4/3n1P2/2P1N2P/PP1P2P1/R1BQ1RK1 b kq - 0 14,0,14,1
r2qkb1r/5p1p/p5p1/1ppn4/3n1P2/2P1N2P/PP1P2P1/R1BQ1RK1 w kq - 0 15,1,15,1
r2qkb1r/5p1p/p5p1/1ppN4/3n1P2/2P4P/PP1P2P1/R1BQ1RK1 b kq - 0 15,0,15,1
r3kb1r/5p1p/p5p1/1ppq4/3n1P2/2P4P/PP1P2P1/R1BQ1RK1 w kq - 0 16,1,16,1
r3kb1r/5p1p/p5p1/1ppq4/3P1P2/7P/PP1P2P1/R1BQ1RK1 b kq - 0 16,0,16,1
2kr1b1r/5p1p/p5p1/1ppq4/3P1P2/7P/PP1P2P1/R1BQ1RK1 w - - 1 17,1,17,1
2kr1b1r/5p1p/p5p1/1ppq4/3P1P2/7P/PP1P2P1/R1BQ1R1K b - - 2 17,0,17,1
3r1b1r/1k3p1p/p5p1/1ppq4/3P1P2/7P/PP1P2P1/R1BQ1R1K w - - 3 18,1,18,1
3r1b1r/1k3p1p/p5p1/1pPq4/5P2/7P/PP1P2P1/R1BQ1R1K b - - 0 18,0,18,1
3r3r/1k3pbp/p5p1/1pPq4/5P2/7P/PP1P2P1/R1BQ1R1K w - - 1 19,1,19,1
3r3r/1k3pbp/p5p1/1pPq4/3P1P2/7P/PP4P1/R1BQ1R1K b - - 0 19,0,19,1
3r3r/1k3p1p/p5p1/1pPq4/3b1P2/7P/PP4P1/R1BQ1R1K w - - 0 20,1,20,1
3r3r/1k3p1p/p5p1/1pPq1P2/3b4/7P/PP4P1/R1BQ1R1K b - - 0 20,0,20,1
3r3r/1k3p1p/p5p1/1pbq1P2/8/7P/PP4P1/R1BQ1R1K w - - 0 21,1,21,1
3r3r/1k3p1p/p5p1/1pbq1P2/5B2/7P/PP4P1/R2Q1R1K b - - 1 21,0,21,1
3r3r/1k3p1p/p5p1/1pb2q2/5B2/7P/PP4P1/R2Q1R1K w - - 0 22,1,22,1
3r3r/1k3p1p/p5p1/1pb2q2/5B2/7P/PP2Q1P1/R4R1K b - - 1 22,0,22,1
3rr3/1k3p1p/p5p1/1pb2q2/5B2/7P/PP2Q1P1/R4R1K w - - 2 23,1,23,1
3rr3/1k3p1p/p5p1/1pb2q2/5BQ1/7P/PP4P1/R4R1K b - - 3 23,0,23,1
3rr3/1k5p/p4pp1/1pb2q2/5BQ1/7P/PP4P1/R4R1K w - - 0 24,1,24,1
3rr3/1k5p/p4pp1/1pb2Q2/5B2/7P/PP4P1/R4R1K b - - 0 24,0,24,1
3rr3/1k5p/p4p2/1pb2p2/5B2/7P/PP4P1/R4R1K w - - 0 25,1,25,1
3rr3/1k5p/p4p2/1pb2p2/P4B2/7P/1P4P1/R4R1K b - - 0 25,0,25,1
3rr3/1k5p/p4p2/2b2p2/Pp3B2/7P/1P4P1/R4R1K w - - 0 26,1,26,1
3rr3/1k5p/p4p2/2b2p2/Pp3B2/1P5P/6P1/R4R1K b - - 0 26,0,26,1
4r3/1k5p/p4p2/2b2p2/Pp3B2/1P1r3P/6P1/R4R1K w - - 1 27,1,27,1
4r3/1k5p/p4p2/2b2p2/Pp3B2/1P1r3P/6P1/3R1R1K b - - 2 27,0,27,1
4r3/1k5p/p4p2/2b2p2/Pp3B2/1r5P/6P1/3R1R1K w - - 0 28,1,28,1
4r3/1k1R3p/p4p2/2b2p2/Pp3B2/1r5P/6P1/5R1K b - - 1 28,0,28,1
4r3/3R3p/p1k2p2/2b2p2/Pp3B2/1r5P/6P1/5R1K w - - 2 29,1,29,1
4r3/2R4p/p1k2p2/2b2p2/Pp3B2/1r5P/6P1/5R1K b - - 3 29,0,29,1
4r3/2R4p/pk3p2/2b2p2/Pp3B2/1r5P/6P1/5R1K w - - 4 30,1,30,1
4r3/7R/pk3p2/2b2p2/Pp3B2/1r5P/6P1/5R1K b - - 0 30,0,30,1
4r3/7R/pk3p2/2b2p2/Pp3B2/r6P/6P1/5R1K w - - 1 31,1,31,1
4r3/2B4R/pk3p2/2b2p2/Pp6/r6P/6P1/5R1K b - - 2 31,0,31,1
4r3/1kB4R/p4p2/2b2p2/Pp6/r6P/6P1/5R1K w - - 3 32,1,32,1
4r3/1k5R/p2B1p2/2b2p2/Pp6/r6P/6P1/5R1K b - - 4 32,0,32,1
4r3/7R/pk1B1p2/2b2p2/Pp6/r6P/6P1/5R1K w - - 5 33,1,33,1
4r3/7R/pk1B1p2/P1b2p2/1p6/r6P/6P1/5R1K b - - 0 33,0,33,1
4r3/7R/pk1B1p2/r1b2p2/1p6/7P/6P1/5R1K w - - 0 34,1,34,1
4r3/7R/pk1B1p2/r1b2p2/1p6/7P/6P1/3R3K b - - 1 34,0,34,1
4r3/7R/p2B1p2/rkb2p2/1p6/7P/6P1/3R3K w - - 2 35,1,35,1
4r3/7R/p2B1p2/rkb2p2/1p6/7P/6PK/3R4 b - - 3 35,0,35,1
4r3/7R/p2B1p2/rkb5/1p3p2/7P/6PK/3R4 w - - 0 36,1,36,1
4r3/8/p2B1p2/rkb4R/1p3p2/7P/6PK/3R4 b - - 1 36,0,36,1
8/8/p2B1p2/rkb1r2R/1p3p2/7P/6PK/3R4 w - - 2 37,1,37,1
8/8/p4p2/rkb1B2R/1p3p2/7P/6PK/3R4 b - - 0 37,0,37,1
8/8/p7/rkb1p2R/1p3p2/7P/6PK/3R4 w - - 0 38,1,38,1
8/8/p7/rkb1p2R/1p3pP1/7P/7K/3R4 b - g3 0 38,0,38,1
8/8/p7/1kb1p2R/1p3pP1/7P/r6K/3R4 w - - 1 39,1,39,1
8/8/p7/1kb1p2R/1p3pP1/7P/r7/3R3K b - - 2 39,0,39,1
8/8/p7/1kb1p2R/5pP1/1p5P/r7/3R3K w - - 0 40,1,40,1
8/8/p7/1kb1R3/5pP1/1p5P/r7/3R3K b - - 0 40,0,40,1
8/8/8/pkb1R3/5pP1/1p5P/r7/3R3K w - - 0 41,1,41,1
8/8/8/pkb1R1P1/5p2/1p5P/r7/3R3K b - - 0 41,0,41,1
8/8/8/pkb1R1P1/5p2/7P/rp6/3R3K w - - 0 42,1,42,1
4R3/8/8/pkb3P1/5p2/7P/rp6/3R3K b - - 1 42,0,42,1
4R3/8/8/pkb3P1/5p2/7P/1p6/r2R3K w - - 2 43,1,43,1
4R3/8/8/pkb3P1/5p2/7P/1p6/r3R2K b - - 3 43,0,43,1
4R3/8/8/pkb3P1/5p2/7P/8/rq2R2K w - - 0 44,1,44,1
4R3/8/8/pkb3P1/5p2/7P/8/rR5K b - - 0 44,0,44,1
4R3/8/8/pkb3P1/5p2/7P/8/1r5K w - - 0 45,1,45,1
4R3/8/8/pkb3P1/5p2/7P/7K/1r6 b - - 1 45,0,45,1
4R3/8/8/pkb3P1/5p2/7P/1r5K/8 w - - 2 46,1,46,1
4R3/8/8/pkb3P1/5p2/7P/1r6/7K b - - 3 46,0,46,1
4R3/8/8/pkb3P1/5p2/1r5P/8/7K w - - 4 47,1,47,1
7R/8/8/pkb3P1/5p2/1r5P/8/7K b - - 5 47,0,47,1
7R/8/8/pkb3P1/5p2/6rP/8/7K w - - 6 48,1,48,1
7R/8/8/pkb3P1/5p2/6rP/7K/8 b - - 7 48,0,48,1
7R/8/8/pkb3r1/5p2/7P/7K/8 w - - 0 49,1,49,1
4R3/8/8/pkb3r1/5p2/7P/7K/8 b - - 1 49,0,49,1
4R3/b7/8/pk4r1/5p2/7P/7K/8 w - - 2 50,1,50,1
4R3/b7/8/pk4r1/5p2/7P/8/7K b - - 3 50,0,50,1
4R3/b7/8/pk4r1/8/5p1P/8/7K w - - 0 51,1,51,1
4R3/b7/8/pk4r1/8/5p1P/7K/8 b - - 1 51,0,51,1
4R3/b7/8/pk4r1/8/7P/5p1K/8 w - - 0 52,1,52,1
5R2/b7/8/pk4r1/8/7P/5p1K/8 b - - 1 52,0,52,1
5R2/8/1b6/pk4r1/8/7P/5p1K/8 w - - 2 53,1,53,1
8/5R2/1b6/pk4r1/8/7P/5p1K/8 b - - 3 53,0,53,1
8/5R2/1b6/pk6/8/7P/5p1K/6r1 w - - 4 54,1,54,1
8/8/1b6/pk6/8/7P/5R1K/6r1 b - - 0 54,0,54,1
8/8/8/pk6/8/7P/5b1K/6r1 w - - 0 55,1,55,1
8/8/8/pk6/7P/8/5b1K/6r1 b - - 0 55,0,55,1
8/8/8/pk6/6rP/8/5b1K/8 w - - 1 56,1,56,1
8/8/8/pk5P/6r1/8/5b1K/8 b - - 0 56,0,56,1
8/8/8/pkb4P/6r1/8/7K/8 w - - 1 57,1,57,1
8/8/8/pkb4P/6r1/8/8/7K b - - 2 57,0,57,1
8/8/8/pkb4P/8/8/8/6rK w - - 3 58,1,58,1
8/8/8/pkb4P/8/8/7K/6r1 b - - 4 58,0,58,1
8/8/8/1kb4P/p7/8/7K/6r1 w - - 0 59,1,59,1
8/8/7P/1kb5/p7/8/7K/6r1 b - - 0 59,0,59,1
8/8/7P/1kb3r1/p7/8/7K/8 w - - 1 60,1,60,1
8/7P/8/1kb3r1/p7/8/7K/8 b - - 0 60,0,60,1
8/7P/8/1kb4r/p7/8/7K/8 w - - 1 61,1,61,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,1,1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,0,1,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,1,2,1
rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,0,2,1
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,1,3,1
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,0,3,1
rnbqkb1r/ppp2ppp/5n2/3pp3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,1,4,1
rnbqkb1r/ppp2ppp/5n2/3Pp3/2B5/5N2/PPPP1PPP/RNBQK2R b KQkq - 0 4,0,4,1
rnbqkb1r/ppp2ppp/5n2/3P4/2B1p3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 5,1,5,1
rnbqkb1r/ppp2ppp/5n2/3PN3/2B1p3/8/PPPP1PPP/RNBQK2R b KQkq - 1 5,0,5,1
rnbqk2r/ppp1bppp/5n2/3PN3/2B1p3/8/PPPP1PPP/RNBQK2R w KQkq - 2 6,1,6,1
rnbqk2r/ppp1bppp/5n2/3PN3/2B1p3/3P4/PPP2PPP/RNBQK2R b KQkq - 0 6,0,6,1
rnbq1rk1/ppp1bppp/5n2/3PN3/2B1p3/3P4/PPP2PPP/RNBQK2R w KQ - 1 7,1,7,1
rnbq1rk1/ppp1bppp/5n2/3PN3/2B1p3/3P4/PPP2PPP/RNBQ1RK1 b - - 2 7,0,7,1
rnbq1rk1/ppp2ppp/3b1n2/3PN3/2B1p3/3P4/PPP2PPP/RNBQ1RK1 w - - 3 8,1,8,1
rnbq1rk1/ppp2ppp/3b1n2/3PN3/2B1pB2/3P4/PPP2PPP/RN1Q1RK1 b - - 4 8,0,8,1
rnbqr1k1/ppp2ppp/3b1n2/3PN3/2B1pB2/3P4/PPP2PPP/RN1Q1RK1 w - - 5 9,1,9,1
rnbqr1k1/ppp2ppp/3b1n2/3PN3/2BPpB2/8/PPP2PPP/RN1Q1RK1 b - - 0 9,0,9,1
rnb1r1k1/ppp1qppp/3b1n2/3PN3/2BPpB2/8/PPP2PPP/RN1Q1RK1 w - - 1 10,1,10,1
rnb1r1k1/ppp1qppp/3b1n2/3PN3/2BPp3/6B1/PPP2PPP/RN1Q1RK1 b - - 2 10,0,10,1
r1b1r1k1/pppnqppp/3b1n2/3PN3/2BPp3/6B1/PPP2PPP/RN1Q1RK1 w - - 3 11,1,11,1
r1b1r1k1/pppnqppp/3b1n2/3PN3/2BPp3/2N3B1/PPP2PPP/R2Q1RK1 b - - 4 11,0,11,1
r1b1r1k1/pppnqpp1/3b1n1p/3PN3/2BPp3/2N3B1/PPP2PPP/R2Q1RK1 w - - 0 12,1,12,1
r1b1r1k1/pppnqpp1/3b1n1p/3PN3/2BPp3/2N3B1/PPP2PPP/R2QR1K1 b - - 1 12,0,12,1
r1b1r1k1/pppnqpp1/5n1p/3Pb3/2BPp3/2N3B1/PPP2PPP/R2QR1K1 w - - 0 13,1,13,1
r1b1r1k1/pppnqpp1/5n1p/3PB3/2BPp3/2N5/PPP2PPP/R2QR1K1 b - - 0 13,0,13,1
r1b1r1k1/ppp1qpp1/5n1p/3Pn3/2BPp3/2N5/PPP2PPP/R2QR1K1 w - - 0 14,1,14,1
r1b1r1k1/ppp1qpp1/3P1n1p/4n3/2BPp3/2N5/PPP2PPP/R2QR1K1 b - - 0 14,0,14,1
r1b1r1k1/ppp2pp1/3q1n1p/4n3/2BPp3/2N5/PPP2PPP/R2QR1K1 w - - 0 15,1,15,1
r1b1r1k1/ppp2pp1/3q1n1p/4n3/2BPN3/8/PPP2PPP/R2QR1K1 b - - 0 15,0,15,1
r1b1r1k1/ppp2pp1/2q2n1p/4n3/2BPN3/8/PPP2PPP/R2QR1K1 w - - 1 16,1,16,1
r1b1r1k1/ppp2pp1/2q2n1p/4P3/2B1N3/8/PPP2PPP/R2QR1K1 b - - 0 16,0,16,1
r1b1r1k1/ppp2pp1/2q4p/4P3/2B1n3/8/PPP2PPP/R2QR1K1 w - - 0 17,1,17,1
r1b1r1k1/ppp2pp1/2q4p/3BP3/4n3/8/PPP2PPP/R2QR1K1 b - - 1 17,0,17,1
r1b1r1k1/ppp2pp1/1q5p/3BP3/4n3/8/PPP2PPP/R2QR1K1 w - - 2 18,1,18,1
r1b1r1k1/ppp2pp1/1q5p/4P3/4B3/8/PPP2PPP/R2QR1K1 b - - 0 18,0,18,1
r1b1r1k1/pp3pp1/1qp4p/4P3/4B3/8/PPP2PPP/R2QR1K1 w - - 0 19,1,19,1
r1b1r1k1/pp3pp1/1qp4p/4P3/4B3/5Q2/PPP2PPP/R3R1K1 b - - 1 19,0,19,1
r1b1r1k1/pp3pp1/2p4p/2q1P3/4B3/5Q2/PPP2PPP/R3R1K1 w - - 2 20,1,20,1
r1b1r1k1/pp3pp1/2p4p/2q1P3/4B3/5Q2/PPP2PPP/3RR1K1 b - - 3 20,0,20,1
r1b1r1k1/pp3p2/2p3pp/2q1P3/4B3/5Q2/PPP2PPP/3RR1K1 w - - 0 21,1,21,1
r1b1r1k1/pp3p2/2p3pp/2q1P3/4B3/Q7/PPP2PPP/3RR1K1 b - - 1 21,0,21,1
r1b1r1k1/pp3p2/2p3pp/4P3/4B3/q7/PPP2PPP/3RR1K1 w - - 0 22,1,22,1
r1b1r1k1/pp3p2/2p3pp/4P3/4B3/P7/P1P2PPP/3RR1K1 b - - 0 22,0,22,1
r3r1k1/pp3p2/2p3pp/4Pb2/4B3/P7/P1P2PPP/3RR1K1 w - - 1 23,1,23,1
r3r1k1/pp3p2/2p3pp/4Pb2/4BP2/P7/P1P3PP/3RR1K1 b - - 0 23,0,23,1
r3r1k1/pp3p2/2p3pp/4P3/4bP2/P7/P1P3PP/3RR1K1 w - - 0 24,1,24,1
r3r1k1/pp3p2/2p3pp/4P3/4RP2/P7/P1P3PP/3R2K1 b - - 0 24,0,24,1
r5k1/pp2rp2/2p3pp/4P3/4RP2/P7/P1P3PP/3R2K1 w - - 1 25,1,25,1
r5k1/pp2rp2/2p3pp/4P3/4RPP1/P7/P1P4P/3R2K1 b - - 0 25,0,25,1
r5k1/pp2rp2/2p4p/4P1p1/4RPP1/P7/P1P4P/3R2K1 w - - 0 26,1,26,1
r5k1/pp2rp2/2p4p/4P1p1/4RPP1/P7/P1P3KP/3R4 b - - 1 26,0,26,1
4r1k1/pp2rp2/2p4p/4P1p1/4RPP1/P7/P1P3KP/3R4 w - - 2 27,1,27,1
4r1k1/pp2rp2/2p4p/4P1p1/4RPP1/P7/P1P3KP/4R3 b - - 3 27,0,27,1
4r1k1/ppr2p2/2p4p/4P1p1/4RPP1/P7/P1P3KP/4R3 w - - 4 28,1,28,1
4r1k1/ppr2p2/2p1P2p/6p1/4RPP1/P7/P1P3KP/4R3 b - - 0 28,0,28,1
4rk2/ppr2p2/2p1P2p/6p1/4RPP1/P7/P1P3KP/4R3 w - - 1 29,1,29,1
4rk2/ppr2p2/2p1P2p/6p1/4RPP1/P4K2/P1P4P/4R3 b - - 2 29,0,29,1
4rk2/ppr2p2/2p1P2p/8/4RpP1/P4K2/P1P4P/4R3 w - - 0 30,1,30,1
4rk2/ppr2p2/2p1P2p/8/P3RpP1/5K2/P1P4P/4R3 b - - 0 30,0,30,1
4r3/ppr2pk1/2p1P2p/8/P3RpP1/5K2/P1P4P/4R3 w - - 1 31,1,31,1
4r3/ppr2pk1/2p1P2p/P7/4RpP1/5K2/P1P4P/4R3 b - - 0 31,0,31,1
5r2/ppr2pk1/2p1P2p/P7/4RpP1/5K2/P1P4P/4R3 w - - 1 32,1,32,1
5r2/ppr2pk1/P1p1P2p/8/4RpP1/5K2/P1P4P/4R3 b - - 0 32,0,32,1
5r2/ppr3k1/P1p1p2p/8/4RpP1/5K2/P1P4P/4R3 w - - 0 33,1,33,1
5r2/ppr3k1/P1p1R2p/8/5pP1/5K2/P1P4P/4R3 b - - 0 33,0,33,1
8/ppr2rk1/P1p1R2p/8/5pP1/5K2/P1P4P/4R3 w - - 1 34,1,34,1
8/pPr2rk1/2p1R2p/8/5pP1/5K2/P1P4P/4R3 b - - 0 34,0,34,1
8/pr3rk1/2p1R2p/8/5pP1/5K2/P1P4P/4R3 w - - 0 35,1,35,1
8/pr3rk1/2R4p/8/5pP1/5K2/P1P4P/4R3 b - - 0 35,0,35,1
8/1r3rk1/2R4p/p7/5pP1/5K2/P1P4P/4R3 w - - 0 36,1,36,1
8/1r3rk1/2R4p/p7/5pP1/P4K2/2P4P/4R3 b - - 0 36,0,36,1
8/1r4k1/2R2r1p/p7/5pP1/P4K2/2P4P/4R3 w - - 1 37,1,37,1
8/1r4k1/5r1p/p7/5pP1/P1R2K2/2P4P/4R3 b - - 2 37,0,37,1
8/6k1/5r1p/pr6/5pP1/P1R2K2/2P4P/4R3 w - - 3 38,1,38,1
8/2R3k1/5r1p/pr6/5pP1/P4K2/2P4P/4R3 b - - 4 38,0,38,1
8/2R5/5rkp/pr6/5pP1/P4K2/2P4P/4R3 w - - 5 39,1,39,1
8/8/5rkp/pr6/2R2pP1/P4K2/2P4P/4R3 b - - 6 39,0,39,1
8/8/5rk1/pr5p/2R2pP1/P4K2/2P4P/4R3 w - - 0 40,1,40,1
8/8/5rk1/pr5p/2R2pP1/P4K1P/2P5/4R3 b - - 0 40,0,40,1
8/8/5rk1/pr6/2R2pp1/P4K1P/2P5/4R3 w - - 0 41,1,41,1
8/8/5rk1/pr6/2R2pP1/P4K2/2P5/4R3 b - - 0 41,0,41,1
8/8/5rk1/p2r4/2R2pP1/P4K2/2P5/4R3 w - - 1 42,1,42,1
8/4R3/5rk1/p2r4/2R2pP1/P4K2/2P5/8 b - - 2 42,0,42,1
