board,turn,move_num,result
2r5/1p2pp1k/pq4p1/n2r1P2/nP4P1/8/2K4P/7R w - - 1 33,1,33,0
2r5/1p2pp1k/pq4p1/n2r1P2/nP4P1/8/7P/1K5R b - - 2 33,0,33,2
2r5/1p2pp1k/p5p1/n2r1P2/nq4P1/8/7P/1K5R w - - 0 34,1,34,0
2r5/1p2pp1k/p5p1/n2r1P2/nq4P1/8/K6P/7R b - - 1 34,0,34,2
8/1p2pp1k/p5p1/n2r1P2/nq4P1/8/K1r4P/7R w - - 2 35,1,35,0
8/1p2pp1k/p5p1/n2r1P2/nq4P1/8/2r4P/K6R b - - 3 35,0,35,2
8/1p2pp1k/p5p1/n2r1P2/n5P1/8/1qr4P/K6R w - - 4 36,1,36,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1,1,2
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,0,1,0
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,1,2,2
rnbqkb1r/pppppppp/5n2/8/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 2,0,2,0
rnbqkb1r/pp1ppppp/5n2/2p5/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq - 0 3,1,3,2
rnbqkb1r/pp1ppppp/5n2/2pP4/8/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 3,0,3,0
rnbqkb1r/pp1ppp1p/5np1/2pP4/8/4P3/PPP2PPP/RNBQKBNR w KQkq - 0 4,1,4,2
rnbqkb1r/pp1ppp1p/5np1/2pP4/8/2P1P3/PP3PPP/RNBQKBNR b KQkq - 0 4,0,4,0
rnbqkb1r/pp2pp1p/3p1np1/2pP4/8/2P1P3/PP3PPP/RNBQKBNR w KQkq - 0 5,1,5,2
rnbqkb1r/pp2pp1p/3p1np1/2pP4/8/2P1PN2/PP3PPP/RNBQKB1R b KQkq - 1 5,0,5,0
rnbqkb1r/1p2pp1p/p2p1np1/2pP4/8/2P1PN2/PP3PPP/RNBQKB1R w KQkq - 0 6,1,6,2
rnbqkb1r/1p2pp1p/p2p1np1/2pP4/2P5/4PN2/PP3PPP/RNBQKB1R b KQkq - 0 6,0,6,0
rnbqkb1r/1p3p1p/p2ppnp1/2pP4/2P5/4PN2/PP3PPP/RNBQKB1R w KQkq - 0 7,1,7,2
rnbqkb1r/1p3p1p/p2ppnp1/2pP4/P1P5/4PN2/1P3PPP/RNBQKB1R b KQkq - 0 7,0,7,0
rnbqkb1r/1p3p1p/p2p1np1/2pp4/P1P5/4PN2/1P3PPP/RNBQKB1R w KQkq - 0 8,1,8,2
rnbqkb1r/1p3p1p/p2p1np1/2pP4/P7/4PN2/1P3PPP/RNBQKB1R b KQkq - 0 8,0,8,0
rnbqk2r/1p3pbp/p2p1np1/2pP4/P7/4PN2/1P3PPP/RNBQKB1R w KQkq - 1 9,1,9,2
rnbqk2r/1p3pbp/p2p1np1/2pP4/P7/4PN2/1P2BPPP/RNBQK2R b KQkq - 2 9,0,9,0
