board,turn,move_num,result,result_scaled,result_scaled_tempo
1r3k2/1rn4p/3pp3/P1p2p2/2P1nN1N/6P1/R4PKP/4R3 w - - 2 30,True,30,1,5.6953125,5.6953125
1r3k2/1rn4p/3pN3/P1p2p2/2P1n2N/6P1/R4PKP/4R3 b - - 0 30,False,30,1,5.6953125,5.6953125
1r3k2/1r5p/3pn3/P1p2p2/2P1n2N/6P1/R4PKP/4R3 w - - 0 31,True,31,1,5.6953125,5.6953125
1r3k2/1r5p/3pn3/P1p2N2/2P1n3/6P1/R4PKP/4R3 b - - 0 31,False,31,1,5.6953125,5.6953125
1r3k2/1r5p/3pn3/P1p2N2/2P5/2n3P1/R4PKP/4R3 w - - 1 32,True,32,1,5.6953125,5.6953125
1r3k2/1r5p/3pn3/P1p2N2/2P5/2n3P1/3R1PKP/4R3 b - - 2 32,False,32,1,5.6953125,5.6953125
1r3k2/1r4np/3p4/P1p2N2/2P5/2n3P1/3R1PKP/4R3 w - - 3 33,True,33,1,5.6953125,5.6953125
1r3k2/1r4np/3N4/P1p5/2P5/2n3P1/3R1PKP/4R3 b - - 0 33,False,33,1,5.6953125,5.6953125
1r3k2/r5np/3N4/P1p5/2P5/2n3P1/3R1PKP/4R3 w - - 1 34,True,34,1,5.6953125,5.6953125
1r3k2/r5np/3N4/P1p5/2P5/2n1R1P1/3R1PKP/8 b - - 2 34,False,34,1,5.6953125,5.6953125
1r3k2/r5np/3N4/P1p5/n1P5/4R1P1/3R1PKP/8 w - - 3 35,True,35,1,5.6953125,5.6953125
1r3k2/r5np/8/PNp5/n1P5/4R1P1/3R1PKP/8 b - - 4 35,False,35,1,5.6953125,5.6953125
1r3k2/6np/8/rNp5/n1P5/4R1P1/3R1PKP/8 w - - 0 36,True,36,1,5.6953125,5.6953125
1r3k2/6np/8/rNp5/n1P5/4R1P1/R4PKP/8 b - - 1 36,False,36,1,5.6953125,5.6953125
1r4k1/6np/8/rNp5/n1P5/4R1P1/R4PKP/8 w - - 2 37,True,37,1,5.6953125,5.6953125
1r4k1/6np/8/rNp5/n1P5/R5P1/R4PKP/8 b - - 3 37,False,37,1,5.6953125,5.6953125
1r4k1/6np/8/1rp5/n1P5/R5P1/R4PKP/8 w - - 0 38,True,38,1,5.6953125,5.6953125
1r4k1/6np/8/1Pp5/n7/R5P1/R4PKP/8 b - - 0 38,False,38,1,5.6953125,5.6953125
1r4k1/6np/1n6/1Pp5/8/R5P1/R4PKP/8 w - - 1 39,True,39,1,5.6953125,5.6953125
1r4k1/6np/1n6/1Pp5/8/R5P1/4RPKP/8 b - - 2 39,False,39,1,5.6953125,5.6953125
6k1/1r4np/1n6/1Pp5/8/R5P1/4RPKP/8 w - - 3 40,True,40,1,5.6953125,5.6953125
